Column1,Country Code,Year,Value
Afghanistan,AFG,2015,34.8
Afghanistan,AFG,2023,28.7
Angola,AGO,2016,30.3
Albania,ALB,2009,9.6
Albania,ALB,2018,11.8
Argentina,ARG,2020,15.5
Armenia,ARM,2000,19.1
Armenia,ARM,2005,9.9
Armenia,ARM,2010,7.2
Armenia,ARM,2016,5.3
Azerbaijan,AZE,2006,12.2
Azerbaijan,AZE,2011,11
Burundi,BDI,1987,17.3
Burundi,BDI,2010,20.4
Burundi,BDI,2017,19
Belgium,BEL,2020,0.1
Benin,BEN,1996,38.8
Benin,BEN,2001,36.7
Benin,BEN,2006,34.4
Benin,BEN,2012,31.9
Benin,BEN,2018,30.6
Benin,BEN,2022,27.5
Burkina Faso,BFA,1993,61.7
Burkina Faso,BFA,1999,62.3
Burkina Faso,BFA,2003,51.9
Burkina Faso,BFA,2010,51.6
Burkina Faso,BFA,2015,51.3
Burkina Faso,BFA,2021,38.2
Bangladesh,BGD,1994,73.3
Bangladesh,BGD,1997,68.5
Bangladesh,BGD,2000,65.3
Bangladesh,BGD,2004,68.7
Bangladesh,BGD,2007,66.2
Bangladesh,BGD,2011,64.9
Bangladesh,BGD,2014,58.6
Bangladesh,BGD,2018,58.9
Bangladesh,BGD,2019,51.4
Bosnia and Herzegovina,BIH,2012,3.5
Belarus,BLR,2019,4.7
Belize,BLZ,2016,33.5
Bolivia,BOL,1989,23.7
Bolivia,BOL,1994,24.9
Bolivia,BOL,1998,21.2
Bolivia,BOL,2003,25.8
Bolivia,BOL,2008,21.7
Bolivia,BOL,2016,19.7
Brazil,BRA,1986,21.8
Brazil,BRA,1996,23.7
Brazil,BRA,2006,26.2
Barbados,BRB,2012,29.2
Bhutan,BTN,2010,25.8
Botswana,BWA,1988,10
Central African Republic,CAF,1995,57
Central African Republic,CAF,2019,61
China,CHN,2020,2.8
Cote d'Ivoire,CIV,1994,43.5
Cote d'Ivoire,CIV,1999,33.2
Cote d'Ivoire,CIV,2005,34.5
Cote d'Ivoire,CIV,2012,33.2
Cote d'Ivoire,CIV,2021,25.8
Cameroon,CMR,1991,57.7
Cameroon,CMR,1998,43.4
Cameroon,CMR,2004,47.2
Cameroon,CMR,2011,38.4
Cameroon,CMR,2018,29.8
"Congo, Dem. Rep.",COD,2007,39.1
"Congo, Dem. Rep.",COD,2014,37.3
"Congo, Dem. Rep.",COD,2018,29.1
"Congo, Rep.",COG,2005,30.8
"Congo, Rep.",COG,2009,33.3
"Congo, Rep.",COG,2012,32.6
"Congo, Rep.",COG,2015,27.3
Colombia,COL,1986,23.3
Colombia,COL,1990,22
Colombia,COL,1995,25.6
Colombia,COL,2000,21.4
Colombia,COL,2005,23.1
Colombia,COL,2010,23
Colombia,COL,2015,23.4
Comoros,COM,1996,29.7
Comoros,COM,2012,31.6
Comoros,COM,2022,20.7
Cabo Verde,CPV,2018,8.4
Costa Rica,CRI,2018,17.1
Cuba,CUB,2019,29.4
Djibouti,DJI,2019,6.5
Denmark,DNK,2021,0.7
Dominican Republic,DOM,1986,34.4
Dominican Republic,DOM,1991,30.2
Dominican Republic,DOM,1996,37.6
Dominican Republic,DOM,1999,31
Dominican Republic,DOM,2002,41.2
Dominican Republic,DOM,2007,39.6
Dominican Republic,DOM,2013,36.5
Dominican Republic,DOM,2019,31.5
Algeria,DZA,2019,3.8
Ecuador,ECU,1987,26
Ecuador,ECU,2018,22.2
"Egypt, Arab Rep.",EGY,1988,30.5
"Egypt, Arab Rep.",EGY,1992,26.7
"Egypt, Arab Rep.",EGY,1995,26.8
"Egypt, Arab Rep.",EGY,2000,19.5
"Egypt, Arab Rep.",EGY,2003,18.5
"Egypt, Arab Rep.",EGY,2005,16.6
"Egypt, Arab Rep.",EGY,2008,16.6
"Egypt, Arab Rep.",EGY,2014,17.4
"Egypt, Arab Rep.",EGY,2021,15.8
Eritrea,ERI,1995,54.2
Eritrea,ERI,2002,47
Eritrea,ERI,2010,40.7
Ethiopia,ETH,2000,49.1
Ethiopia,ETH,2005,49.2
Ethiopia,ETH,2011,41.2
Ethiopia,ETH,2016,40.3
Finland,FIN,2017,0.1
Fiji,FJI,2021,4
Gabon,GAB,2000,33.6
Gabon,GAB,2012,21.9
Gabon,GAB,2021,13.3
United Kingdom,GBR,2021,0
Georgia,GEO,2018,13.9
Ghana,GHA,1988,40.9
Ghana,GHA,1993,37.6
Ghana,GHA,1998,35.5
Ghana,GHA,2003,27.9
Ghana,GHA,2008,24.6
Ghana,GHA,2014,20.7
Ghana,GHA,2022,16.1
Guinea,GIN,1999,64.5
Guinea,GIN,2005,63.1
Guinea,GIN,2012,51.7
Guinea,GIN,2018,46.5
"Gambia, The",GMB,2013,30.4
"Gambia, The",GMB,2020,23.1
Guinea-Bissau,GNB,2019,25.7
Equatorial Guinea,GNQ,2011,29.5
Guatemala,GTM,1987,41.2
Guatemala,GTM,1995,38.6
Guatemala,GTM,1999,34.3
Guatemala,GTM,2015,29.5
Guyana,GUY,2005,28.2
Guyana,GUY,2009,23
Guyana,GUY,2020,32.3
Honduras,HND,2006,38.8
Honduras,HND,2012,33.6
Honduras,HND,2019,34
Haiti,HTI,1995,23.8
Haiti,HTI,2000,24.1
Haiti,HTI,2006,29.9
Haiti,HTI,2012,17.5
Haiti,HTI,2017,14.9
Indonesia,IDN,1987,35.1
Indonesia,IDN,1991,34.1
Indonesia,IDN,1994,30.8
Indonesia,IDN,1997,29.6
Indonesia,IDN,2003,24.2
Indonesia,IDN,2007,22
Indonesia,IDN,2012,17
Indonesia,IDN,2017,16.3
India,IND,1993,50.2
India,IND,1999,50
India,IND,2006,44.5
India,IND,2016,25.3
India,IND,2021,22.3
"Iran, Islamic Rep.",IRN,2010,16.7
Iraq,IRQ,2018,27.9
Jamaica,JAM,2011,7.9
Jordan,JOR,1990,16.4
Jordan,JOR,1997,13.5
Jordan,JOR,2002,11.1
Jordan,JOR,2007,9.6
Jordan,JOR,2009,10.2
Jordan,JOR,2012,8.4
Jordan,JOR,2018,9.7
Kazakhstan,KAZ,1995,18.5
Kazakhstan,KAZ,1999,14.4
Kazakhstan,KAZ,2015,7
Kenya,KEN,1989,31
Kenya,KEN,1993,28.1
Kenya,KEN,1998,24.6
Kenya,KEN,2003,24.6
Kenya,KEN,2009,26.4
Kenya,KEN,2014,22.9
Kenya,KEN,2022,12.5
Kyrgyz Republic,KGZ,1997,21.2
Kyrgyz Republic,KGZ,2012,7.8
Kyrgyz Republic,KGZ,2018,12.9
Cambodia,KHM,2000,24.8
Cambodia,KHM,2005,23.3
Cambodia,KHM,2010,18.4
Cambodia,KHM,2014,18.5
Cambodia,KHM,2022,17.9
Kiribati,KIR,2019,18.4
Lao PDR,LAO,2017,32.7
Lebanon,LBN,2016,6
Liberia,LBR,1986,48.4
Liberia,LBR,2007,37.9
Liberia,LBR,2013,35.9
Liberia,LBR,2020,24.9
St. Lucia,LCA,2012,24
Sri Lanka,LKA,1987,13.7
Sri Lanka,LKA,2016,9.8
Lesotho,LSO,2004,23
Lesotho,LSO,2009,18.8
Lesotho,LSO,2014,17.3
Lesotho,LSO,2018,16.4
Lithuania,LTU,2022,0.2
Morocco,MAR,1987,24
Morocco,MAR,1992,18.4
Morocco,MAR,2004,15.9
Morocco,MAR,2018,13.7
Moldova,MDA,2005,18.9
Moldova,MDA,2012,12.2
Madagascar,MDG,1992,36.9
Madagascar,MDG,1997,40.4
Madagascar,MDG,2004,38.8
Madagascar,MDG,2009,48.2
Madagascar,MDG,2021,38.8
Maldives,MDV,2009,3.9
Maldives,MDV,2017,2.2
Mexico,MEX,1987,27.6
Mexico,MEX,2018,20.7
Marshall Islands,MHL,2007,26.3
North Macedonia,MKD,2019,7.5
Mali,MLI,1987,78.1
Mali,MLI,1996,69.9
Mali,MLI,2001,65.4
Mali,MLI,2006,70.6
Mali,MLI,2013,59.6
Mali,MLI,2018,53.7
Myanmar,MMR,2016,16
Montenegro,MNE,2018,5.8
Mongolia,MNG,2018,12
Mozambique,MOZ,1997,56.6
Mozambique,MOZ,2003,55.9
Mozambique,MOZ,2009,56.2
Mozambique,MOZ,2011,48.2
Mozambique,MOZ,2015,52.9
Mozambique,MOZ,2023,48.4
Mauritania,MRT,2001,37.2
Mauritania,MRT,2021,36.6
Malawi,MWI,1992,54.9
Malawi,MWI,2000,46.9
Malawi,MWI,2004,48.9
Malawi,MWI,2010,49.6
Malawi,MWI,2016,42.1
Malawi,MWI,2020,37.7
Namibia,NAM,1992,11.4
Namibia,NAM,2000,9.8
Namibia,NAM,2007,8.5
Namibia,NAM,2013,6.9
Niger,NER,1992,83.5
Niger,NER,1998,76.6
Niger,NER,2006,74.5
Niger,NER,2012,76.3
Nigeria,NGA,1990,51.9
Nigeria,NGA,2003,43.3
Nigeria,NGA,2008,39.4
Nigeria,NGA,2013,42.8
Nigeria,NGA,2018,43.4
Nigeria,NGA,2021,30.3
Nicaragua,NIC,1998,50.3
Nicaragua,NIC,2001,43.3
Nicaragua,NIC,2012,35.2
Norway,NOR,2022,0
Nepal,NPL,1996,60.3
Nepal,NPL,2001,56.1
Nepal,NPL,2006,51.4
Nepal,NPL,2011,40.7
Nepal,NPL,2016,39.5
Nepal,NPL,2022,34.9
Nauru,NRU,2007,26.8
Oman,OMN,2014,4
Pakistan,PAK,1991,31.6
Pakistan,PAK,2007,24
Pakistan,PAK,2013,21
Pakistan,PAK,2018,18.3
Panama,PAN,2013,26.4
Peru,PER,1986,19.9
Peru,PER,1992,17.7
Peru,PER,1996,21.3
Peru,PER,2000,18.7
Peru,PER,2006,17.5
